Date,Close/Last,Volume,Open,High,Low
05/06/2021,420.68,5376866,417.45,420.77,415.25
05/05/2021,417.29,2924986,418.94,419.21,416.53
05/04/2021,417.23,6946774,417.68,418.17,413.2598
05/03/2021,419.78,4672068,421.02,421.43,419.28
04/30/2021,418.88,4920060,419.23,420.133,417.93
04/29/2021,421.61,4089173,421.96,422.28,418.01
04/28/2021,418.96,5500198,419.38,420.60,418.50
04/27/2021,419.12,3281046,419.53,419.73,417.94
04/26/2021,419.25,4583362,419.04,419.81,418.59
04/23/2021,418.31,4566010,414.47,419.84,414.38
04/22/2021,413.97,6300016,417.43,418.34,412.71
04/21/2021,417.68,3875754,413.08,417.89,412.94
04/20/2021,413.81,6145211,415.48,416.23,412.18
04/19/2021,416.84,4418718,417.80,418.32,415.35
04/16/2021,418.89,2707256,418.82,419.48,417.33
04/15/2021,417.42,4443842,415.25,417.72,415.25
04/14/2021,412.98,3981195,414.36,415.51,412.425
04/13/2021,414.36,8665333,413.06,415.08,412.66
04/12/2021,413.15,2980465,412.36,413.47,411.76
04/09/2021,412.98,3052119,409.94,413.20,409.80
04/08/2021,410.01,4125477,409.47,410.11,408.47
04/07/2021,408.11,2974626,407.43,408.48,406.99
04/06/2021,407.60,3624086,407.31,408.75,406.94
04/05/2021,407.85,5645351,404.99,408.48,404.91
04/01/2021,402.08,7300956,399.88,402.20,399.66
03/31/2021,397.82,5233340,396.80,399.48,396.79
03/30/2021,396.27,3612926,395.91,396.90,394.50
03/29/2021,397.25,3798426,395.86,398.20,394.27
03/26/2021,397.45,3625948,392.38,397.89,391.758
03/25/2021,391.12,5574728,387.41,392.00,385.34
03/24/2021,390.21,6597368,393.77,395.54,390.21
03/23/2021,392.22,5846475,394.69,396.24,391.41
03/22/2021,395.30,3791578,392.82,396.86,392.76
03/19/2021,392.20,6090840,392.68,394.33,389.92
03/18/2021,392.93,4827129,395.99,398.24,392.25
03/17/2021,398.75,4506225,396.04,399.65,394.81
03/16/2021,397.45,3722030,398.61,399.36,396.5823
03/15/2021,398.01,2330748,395.84,398.22,393.55
03/12/2021,395.61,3389295,393.57,395.72,392.67
03/11/2021,394.99,2818112,393.728,397.14,393.2312
03/10/2021,390.97,3426254,391.17,392.87,389.64
03/09/2021,388.59,3586870,387.30,391.37,386.79
03/08/2021,383.19,3885653,386.08,389.13,382.83
03/05/2021,385.07,6516028,381.87,386.21,374.02
03/04/2021,378.10,7556105,382.62,385.42,373.26
03/03/2021,382.84,5415317,387.27,388.25,382.73
03/02/2021,388.02,4502419,391.31,391.51,387.77
03/01/2021,391.03,3903091,387.18,392.3833,387.01
02/26/2021,381.77,6450245,385.79,387.02,379.61
02/25/2021,383.78,6216336,391.86,393.33,382.19
02/24/2021,393.21,3386610,387.72,393.67,386.74
02/23/2021,388.94,4439575,386.09,390.38,381.62
02/22/2021,388.53,2878316,388.50,391.08,388.22
02/19/2021,391.51,3051203,393.59,393.83,391.03
02/18/2021,392.25,2847509,391.02,392.9884,389.21
02/17/2021,393.92,2421077,391.90,394.09,390.80
02/16/2021,393.87,2379335,395.49,395.65,393.027
02/12/2021,394.18,1945922,391.30,394.38,391.24
02/11/2021,392.22,3114184,392.77,393.15,389.585
02/10/2021,391.56,2566043,393.60,393.73,388.99
02/09/2021,391.72,4725463,391.11,392.35,386.33
02/08/2021,392.05,3315269,390.74,392.05,389.86
02/05/2021,389.12,2560025,389.69,389.89,387.95
02/04/2021,387.60,1959747,384.42,387.64,384.20
02/03/2021,383.26,3246975,383.87,385.11,381.91
02/02/2021,382.96,3672250,381.03,384.64,380.97
02/01/2021,377.60,4393168,375.17,378.7499,372.70
01/29/2021,371.52,5001516,377.06,378.01,369.65
01/28/2021,379.05,5677790,377.76,383.34,377.30
01/27/2021,375.87,5592647,381.63,381.70,373.43
01/26/2021,385.27,2219242,386.81,387.20,385.00
01/25/2021,385.84,3890128,385.12,386.18,379.88
01/22/2021,384.31,3739827,383.73,385.50,383.255
01/21/2021,385.62,3556652,385.89,386.3781,384.67
01/20/2021,385.28,3431228,382.52,386.19,382.11
01/19/2021,380.05,7103186,379.73,380.61,378.15
01/15/2021,377.10,10182720,378.09,378.92,375.082
01/14/2021,379.84,7004309,381.96,382.53,379.43
01/13/2021,381.16,3764929,380.12,382.24,379.24
01/12/2021,380.20,3494556,380.20,381.23,377.77
01/11/2021,380.14,3365972,379.23,381.92,379.125
01/08/2021,382.64,3400271,382.01,382.86,378.49
01/07/2021,380.47,6051650,377.471,381.26,377.28
01/06/2021,374.92,4343066,371.02,378.37,370.46
01/05/2021,372.67,4310505,369.44,373.83,369.44
01/04/2021,370.22,7103724,376.69,376.82,366.16
12/31/2020,375.39,4713052,373.20,376.04,372.60
12/30/2020,373.30,2727467,373.74,374.4309,372.95
12/29/2020,372.81,5401585,375.15,375.40,372.20
12/28/2020,373.53,2342823,373.15,373.94,372.44
12/24/2020,370.31,2040697,369.42,370.36,368.8098
12/23/2020,368.88,3234329,369.63,370.955,368.70
12/22/2020,368.56,3441988,369.49,369.67,367.42
12/21/2020,369.27,5221646,366.30,370.14,363.38
12/18/2020,370.49,6697564,372.36,372.48,368.36
12/17/2020,371.96,6485616,371.69,372.195,369.8745
12/16/2020,369.90,5512871,369.62,370.91,368.625
12/15/2020,369.31,8472663,367.14,369.35,365.69
12/14/2020,364.35,3797572,368.44,369.57,364.21
12/11/2020,367.62,4501555,366.27,367.93,364.615
12/10/2020,368.08,3151144,366.75,369.214,365.811
12/09/2020,368.28,3758194,372.28,372.42,367.325
12/08/2020,371.53,3491095,369.07,372.16,369.06
12/07/2020,370.50,3162331,370.43,370.99,369.12
12/04/2020,371.19,4091844,368.68,371.20,368.6194
12/03/2020,368.03,3068483,368.0199,369.5299,366.88
12/02/2020,368.10,4121854,366.16,368.27,365.55
12/01/2020,367.32,3716775,366.90,368.99,366.27
11/30/2020,363.32,4093350,364.18,364.39,360.50
11/27/2020,364.98,1354562,365.19,365.52,363.97
11/25/2020,363.99,3826470,364.40,364.48,362.80
11/24/2020,364.51,3756796,361.52,365.10,360.5973
11/23/2020,358.77,2728517,358.65,360.05,356.17
11/20/2020,356.63,2697897,358.79,359.04,356.53
11/19/2020,359.04,3321607,356.845,359.50,355.49
11/18/2020,357.59,3179144,362.21,362.82,357.53
11/17/2020,361.95,2656620,361.27,363.24,359.69
11/16/2020,363.80,3332428,362.34,363.87,360.93
11/13/2020,359.34,2685415,356.52,360.188,355.99
11/12/2020,354.52,3794928,356.85,357.69,352.54
11/11/2020,357.93,2485781,357.66,358.86,356.4275
11/10/2020,355.37,5174082,354.77,356.42,351.8682
11/09/2020,355.83,9109230,365.29,365.69,355.34
11/06/2020,351.44,2871848,351.17,352.76,348.95
11/05/2020,351.47,6900518,350.54,353.445,350.1254
11/04/2020,344.73,6499142,342.07,349.19,340.74
11/03/2020,337.28,6559410,334.86,339.43,334.35
